奶茶店名称,地址,纬度,经度
1点点(长港路地铁店),常青五路88号金色雅园C区2栋1层6室（长港路地铁站F出口东行150米）,30.633324,114.254491
1点点(钟家村家乐福店),汉阳大道钟家村地铁A出口家乐福门口,30.556199,114.271349
1点点(印象城店),和平大道武汉印象城一层1-40商铺,30.638217,114.397396
1点点(武汉大学正门店),珞珈山路88号,30.537853,114.362232
1点点(徐东中商平价店),徐东大街7号中商平价广场1楼外围商铺,30.596686,114.350898
1点点(虎泉店),卓刀泉特一号虎泉购物广场一层,30.520278,114.375588
1点点(南大天地店),葛洲坝南大天地,30.579791,114.258778
1点点(经开万达店),东风东路经开万达广场金街1楼B17号,30.512549,114.181167
1点点(泛悦汇昙华林店),螃蟹岬泛悦汇昙华林B2-16-1,30.557637,114.323064
1点点(中南财经政法大学店),中南财政政法大学西苑政院小区41排193号楼,30.481392,114.390751
1点点(汉南店),百花街161号,30.3134,114.088881
1点点(江汉大学店),博学路联头金色港湾D栋1层07号商铺,30.524437,114.161588
1点点(汉正国际店),中山大道汉正国际中心第一层一区街004号,30.580005,114.287584
1点点(水塔店),前进五路水塔消防队旁,30.585269,114.296173
1点点(光谷西班牙风情街店),世界城光谷步行街D地块公共区域1层D-1DE-01号,30.50872,114.412645
1点点(越秀星汇君泊店),后湖街越秀星汇君泊108号商铺,30.655563,114.287782
1点点(奥山世纪城店),和平大道奥山世纪广场3号楼2层G2001,30.62373,114.367207
1点点(汉阳麦德龙店),芳草路97号纽宾凯国际社区-蜜城k9地块3号楼1层3103铺,30.538851,114.212181
1点点(江夏九全嘉店),北华街北侧城关村九全嘉购物广场第1栋1层特1号,30.364331,114.335377
1点点(万科未来中心店),湖北省武汉市汉阳区汉阳大道408号(地铁4号线五里墩站C出口)万科未来中心VFCB1,30.560571,114.250616
1点点(马湖店),马湖酒店用品大市场新2栋1楼111号,30.480585,114.330837
1点点(汉广店),建设大道延长线与幸福大道交汇处汉口城市广场二期商业B-2区1层10号房,30.657545,114.313049
喜茶(荟聚中心店),长宜路1号荟聚中心L2层（宜家中庭）,30.623419,114.173137
喜茶(武汉世界城广场店),东湖高新技术开发区珞喻路766号世界城广场L1层GC102号,30.511526,114.410733
喜茶(武汉龙湖江宸天街店),青年路518号武汉江宸天街A-1F-09ba号,30.613312,114.268597
喜茶(武汉江汉路X118店),江汉路118号X118一楼帝盛酒店旁,30.588373,114.296657
喜茶(武汉天地壹方南馆店),中山大道武汉天地壹方南馆一楼102商铺,30.614517,114.315766
喜茶(武汉黄陂广场店),黄陂广场二期A.B.J栋J单元1层五室,30.886098,114.383021
喜茶(武汉街道口未来城店),珞狮南路147号,30.531494,114.359664
喜茶(武汉青山印象城店),和平大道1278号武汉青山印象城L1-37号商铺,30.63767,114.397458
喜茶(武汉汉口城市广场店),后湖大道汉口城市广场ABC区一楼C2号商铺,30.657963,114.314828
喜茶(武汉华罗利广场店),民族大道纺织路1号华罗利广场A-09-02,30.489097,114.402642
喜茶(武汉汉阳万达广场店),四新大道608号万达广场室内步行街1F层1022号商铺,30.535675,114.207501
喜茶(武汉凯德广场西城店),解放大道18号凯德广场西城店01层10号,30.602445,114.200491
喜茶(武汉国金天地店),新华路越秀国金天地P5栋一层J1027号,30.591543,114.283405
喜茶(武汉洪山万科广场店),白沙二路洪山万科广场L1层27号,30.489175,114.280853
喜茶(武汉东西湖径河广场店),十字路原金河商城售楼部,30.68415,114.169766
喜茶(武汉雄楚一号购物广场店),雄楚大道888号金地雄楚1号季佳荟雄楚一期AXC1F1043号商铺,30.504527,114.396518
喜茶(武汉光谷青年汇店),光谷青年汇1-01-02,30.445271,114.428771
喜茶(武汉绿地汉口中心店),塔子湖街健康路66号绿地·汉口中心(二期)第S4-a幢/单元1层(2)商号,30.662362,114.299641
书亦烧仙草(happy站台店),中山大道818号平安大厦负一层D036号,30.584372,114.298181
书亦烧仙草(江腾广场店),国博大道广电兰亭都荟1幢一单元第1-2层10附1号,30.54274,114.26186
书亦烧仙草(红钢城店),红钢城工业三路2号1栋1层6号,30.642328,114.407199
书亦烧仙草(吴家山四明路店),东吴大道166号南5号,30.629529,114.147858
书亦烧仙草(中商平价店),红旗街23附46,30.84678,114.807006
书亦烧仙草(粮道街店),粮道街56号附1号,30.553724,114.31184
书亦烧仙草(黄陂广场店),黄陂广场步行街6号商亭,30.885881,114.382069
书亦烧仙草(武汉黄陂巨龙大道地铁站店),巨龙大道龙城·天居园101-6号,30.717155,114.2604
