lon,lat,name,address,pname,cityname,business_area,type
114.66780306932039,30.874472515206396,中国农业银行ATM(新洲李集分理处),府场街36号,湖北省,武汉市,,金融保险服务;自动提款机;中国农业银行ATM
114.73803514888682,30.85572583672696,武汉农村商业银行24小时自助银行(张店支行),新李路武汉农村商业银行(张店支行),湖北省,武汉市,,金融保险服务;自动提款机;农村商业银行ATM
114.07422832189893,30.311158050437815,中国建设银行(武汉汉南支行),育才路1号,湖北省,武汉市,纱帽,金融保险服务;银行;中国建设银行
114.0771709947391,30.311606775963654,中国工商银行(武汉汉南支行),汉南大道315号附3号,湖北省,武汉市,纱帽,金融保险服务;银行;中国工商银行
114.07334569840216,30.308857061384387,中国银行(武汉薇湖支行),纱帽镇薇湖路259号,湖北省,武汉市,纱帽,金融保险服务;银行;中国银行
114.07491143331941,30.30868978785323,中国农业银行(武汉汉南支行),薇湖路99号,湖北省,武汉市,纱帽,金融保险服务;银行;中国农业银行
114.07549616265614,30.310938071261244,中国银行(汉南支行),汉南大道388号,湖北省,武汉市,纱帽,金融保险服务;银行;中国银行
114.07442030286876,30.31100691137163,中国建设银行24小时自助银行(武汉汉南支行),纱帽汉南大道275号(近武汉汉南客运站),湖北省,武汉市,纱帽,金融保险服务;自动提款机;中国建设银行ATM
114.0728346570059,30.321988917401207,汉口银行(汉南支行),兴城大道400号,湖北省,武汉市,纱帽,金融保险服务;银行;银行
114.06583773209195,30.309444715431965,中国邮政储蓄银行,纱帽街薇湖水岸德成广场33号楼107号1层,湖北省,武汉市,纱帽,金融保险服务;银行;中国邮政储蓄银行
114.07839295066087,30.312241893133965,中国农业银行(武汉纱帽支行),汉南大道500号,湖北省,武汉市,纱帽,金融保险服务;银行;中国农业银行
114.07464141321094,30.309361925022177,武汉农村商业银行(纱帽支行),汉南大道328号,湖北省,武汉市,纱帽,金融保险服务;银行;农村商业银行
